id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13247,Back Bay studio apartment,51637,Susan,,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,,,2,0,0,
205894,Reautiful room in Victorian House/Room 2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,3,204,2019-09-30,1.59,7,333,0,STR-457920
2444202,Beacon Hill apartment - 1 bedroom + office,51637,Susan,,Beacon Hill,42.3596,-71.06555,Entire home/apt,65,91,0,,,2,0,0,
3325306,Quiet Southie 2bd Near the Beach and Broadway,10849730,Kara,,South Boston,42.33306,-71.03291,Entire home/apt,130,120,23,2021-03-08,0.24,1,240,0,STR-413417
4244593,Best - Harvard/MIT/Cambridge 1 Bdrm,710114,Jordan &,,Allston,42.37626,-71.13399,Entire home/apt,150,2,59,2021-11-25,0.65,2,156,1,
6609546,Beautiful Waterfront Location.,34584706,George,,South Boston Waterfront,42.34791,-71.04196,Private room,149,29,225,2020-03-12,2.72,2,365,0,STR-416477
6677469,south end/back bay brownstone,34949685,Oine,,South End,42.34449,-71.07674,Entire home/apt,277,3,56,2021-09-27,0.69,1,105,2,STR-416571
6764572,Experience an 1880s Victorian house,35411494,Jon&Margrit,,Jamaica Plain,42.31783,-71.10651,Private room,95,1,230,2021-03-02,2.79,2,0,0,STR 383312
6990904,Cozy JP bedroom near Orange Line T,16337422,Orion,,Jamaica Plain,42.31355,-71.10003,Private room,161,91,25,2019-05-19,0.31,2,179,0,
7875315,Diana's Green line T to Downtown Boston,38845897,Diana,,Jamaica Plain,42.33011,-71.11882,Private room,88,91,12,2018-11-16,0.17,1,364,0,
8116523,Brownstone in heart of Back Bay,42431392,Frank,,Back Bay,42.3544,-71.07637,Entire home/apt,5000,91,181,2018-05-19,2.27,5,0,0,
8133752,Cozy room near Baker Chocolate Factory #1,42952459,Andrew,,Mattapan,42.27463,-71.07057,Private room,70,91,33,2018-08-26,0.42,1,363,0,
8442940,Sunny and cozy home near one end of freedom trail,3022224,Krishna & Meena,,Charlestown,42.37736,-71.06517,Entire home/apt,146,2,304,2022-03-05,3.85,1,1,58,STR-403917
8607856,Sunny Modern 2BR apt in Boston,31545543,Zack,,Allston,42.34751,-71.13569,Entire home/apt,298,91,0,,,1,0,0,
