id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22245555,"Bright Room with Private Bathroom, Futon and Desk",3741381,Geeta,,"Woodridge, Fort Lincoln, Gateway",38.93727,-76.95884,Private room,25,31,19,2020-02-16,0.38,2,323,0,
34191748,"Sunny, Spacious Private Room and Private Bath",3741381,Geeta,,"Woodridge, Fort Lincoln, Gateway",38.9407,-76.96393,Private room,35,31,1,2019-08-21,0.03,2,363,0,
25920062,"Modern, cozy one-bedroom apartment on Capitol Hill",17038033,Savannah,,"Union Station, Stanton Park, Kingman Park",38.893,-76.9781,Entire home/apt,85,2,64,2020-03-12,1.71,1,15,0,
25967051,Historic Rowhouse near Navy Yard,6970679,Kay,,"Capitol Hill, Lincoln Park",38.87876,-76.98939,Private room,125,2,5,2018-08-26,0.11,6,0,0,
25968592,Private Dupont Studio w/Rooftop,78880061,Joseph,,"Dupont Circle, Connecticut Avenue/K Street",38.91535,-77.03844,Entire home/apt,129,2,34,2019-10-21,0.74,1,0,0,
25994846,"Spacious, Sunny Studio in Fantastic Location",35591034,Eva,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93534,-77.0382,Entire home/apt,94,4,1,2018-07-03,0.02,1,0,0,
26033668,PRO CLEANED! Captivating in Columbia Heights - PKG,46630199,Home Sweet City,,"Howard University, Le Droit Park, Cardozo/Shaw",38.92693,-77.02082,Entire home/apt,298,3,62,2021-06-13,1.37,75,0,8,
26098080,Sunny One Bedroom Near H St. Corridor!,4429843,Daria,,"Union Station, Stanton Park, Kingman Park",38.89433,-76.9779,Entire home/apt,80,3,2,2021-07-07,0.04,1,0,1,
26113114,TRAVEL INSPIRED URBAN RETREAT,39261377,Stefan,,"Hawthorne, Barnaby Woods, Chevy Chase",38.97278,-77.05476,Entire home/apt,335,5,42,2020-09-07,0.94,1,0,0,
26136688,Quiet room off of 14th street in Columbia Heights!,3734256,Talya,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93608,-77.03178,Private room,70,2,3,2019-10-26,0.09,1,0,0,
26156490,Book Filled Urban Hideaway,23246212,Carl,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91211,-77.01101,Entire home/apt,165,2,4,2021-08-29,0.09,2,69,1,Hosted License: 5007242201000347
26190956,Classic DC Row House in exciting area,9974179,Eric,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92906,-77.02898,Private room,45,2,27,2019-07-14,0.6,1,0,0,
26231715,"Cozy, Whimsical, Airy Upstairs Apartment",3217863,Jan,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93399,-77.03666,Entire home/apt,75,2,12,2019-09-30,0.27,1,17,0,
26303427,Just like home,109502756,Malu,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93347,-77.03682,Entire home/apt,80,2,4,2018-10-02,0.09,1,0,0,
26305111,Georgetown Glam!,197537879,Heidi,,"Georgetown, Burleith/Hillandale",38.91194,-77.06992,Entire home/apt,757,2,29,2021-12-08,0.78,1,53,16,
